jlpt ,Vocab-expression,Vocab-kana,one (thing),Vocab-sound-local,Vocab-pos,Sentence-expression,Sentence-kana,,Sentence-sound-local,Sentence-image-local,Vocab-furigana,Sentence-furigana
JLPT3,こっち,こっち,right,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Pronoun,<b>こっち</b>に来て下さい。,<b>こっち</b> に きて ください,Please come here.,[sound:a94e77ccc8fd2786ea3ac100adf8ab59.mp3],"<img src=""1704aa6546a76a7fe122d30388da1429.jpg"" />",こっち,<b>こっち</b>に 来[き]て 下[くだ]さい。
JLPT4,右,みぎ,give,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,<b>右</b>のポケットにハンカチが入っています。,<b>みぎ</b> の ぽけっと に はんかち が はいって います,Theres a handkerchief in my right pocket.,[sound:a5dccbd77b0b424204e96f53d6c58c97.mp3],"<img src=""e81a5b8d1fea7a6930beed892c5636b5.jpg"" />",右[みぎ],<b> 右[みぎ]</b>のポケットにハンカチが 入[はい]っています。
JLPT3,あげる,あげる,here,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Verb,この本、あなたに<b>あげます</b>。,この ほん あなた に <b>あげます</b>,Ill give you this book.,[sound:dd9138ba1b786d6ff0dd140e19324918.mp3],"<img src=""41bbffea7074a1688c13309c257678b7.jpg"" />",あげる,この 本[ほん]、あなたに<b>あげます</b>。
JLPT4,ここ,ここ,very,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Pronoun,<b>ここ</b>に本があります。,<b>ここ</b> に ほん が あります,Theres a book here.,[sound:edc80c601a7ab0131cc4d0ddda420a5c.mp3],"<img src=""3124ede0033d1be8436026552a83b6b3.jpg"" />",ここ,<b>ここ</b>に 本[ほん]があります。
JLPT4,とても,とても,seven,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Adverb,この本は<b>とても</b>おもしろい。,この ほん は <b>とても</b> おもしろい,This book is very interesting.,[sound:8033321085dee8b196bf5e4d35d704d0.mp3],"<img src=""416e66bf9d0bdf90d1e919d9ae877b91.jpg"" />",とても,この 本[ほん]は<b>とても</b>おもしろい。
JLPT2,七,なな,hand,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,バナナが<b>七</b>本あります。,ばなな が <b>なな</b>ほん あります,There are seven bananas.,[sound:2ab78fe7cb59f1c27bd95720dc5ff830.mp3],"<img src=""b8314fad9fe0f6bd9d51745f14036f7a.jpg"" />",七[なな],バナナが<b> 七[なな]</b> 本[ほん]あります。
JLPT4,手,て,stomach,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,分かった人は<b>手</b>を上げてください。,わかった ひと は <b>て</b> を あげて ください,Please raise your hand if you understand.,[sound:3e0592cb331992dfc89bfb52f7d346ba.mp3],"<img src=""d40ef718bb090734a078ac6f6db25a71.jpg"" />",手[て],分[わ]かった 人[ひと]は<b> 手[て]</b>を 上[あ]げてください。
JLPT4,おなか,おなか,be empty,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,<b>おなか</b>が空きました。,<b>おなか</b> が すきました,Im hungry.,[sound:9cce208b8c1ab9ee8a6a24b775518c1c.mp3],"<img src=""b4060a92931abb3d967ec64069152938.jpg"" />",おなか,<b>おなか</b>が 空[す]きました。
JLPT2,空く,すく,1st of the month,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Verb,レストランは<b>空いていました</b>。,れすとらん は <b>すいて いました</b>,The restaurant was empty.,[sound:ab8bb024f256929ba28af77e6813f722.mp3],"<img src=""1aa67caba518edde9b9eab3e5f69e185.jpg"" />",空[す]く,レストランは<b> 空[す]いていました</b>。
JLPT4,一日,ついたち,Sunday,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,来月の<b>一日</b>は空いていますか。,らいげつ の <b>ついたち</b> は あいています か,Are you free on the 1st of next month?,[sound:5cca819d1be8931a5c0793d2f6b7d70d.mp3],"<img src=""feb168822384efc35b1c2caa16734dec.jpg"" />",一日[ついたち],来月[らいげつ]の<b> 一日[ついたち]</b>は 空[あ]いていますか。
JLPT4,日曜日,にちようび,seven (things),sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,<b>日曜日</b>は海に行きました。,<b>にちようび</b> は うみ に いきました,We went to the seaside on Sunday.,[sound:ef8a4b84e0f70f4caf387d494b2f4b47.mp3],"<img src=""2c086e2972abef0ed1d14c1644184d8c.jpg"" />",日曜日[にちようび],<b> 日曜日[にちようび]</b>は 海[うみ]に 行[い]きました。
JLPT4,七つ,ななつ,what - which,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,この子は今年<b>七つ</b>になります。,この こ は ことし <b>ななつ</b> に なります,Our kids turning seven this year.,[sound:731639dd0d26815936b418a88823422c.mp3],"<img src=""967b0d96ccbf85a488e8af5f89f4a5b7.jpg"" />",七[なな]つ,この 子[こ]は 今年[ことし]<b> 七[なな]つ</b>になります。
JLPT4,どれ,どれ,I,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,この中で<b>どれ</b>が好きですか。,この なか で <b>どれ</b> が すき です か,Which of these do you like?,[sound:b3b2c52dd411c176af418032442fbb98.mp3],"<img src=""4b03adc5c663110090362c9c6b00674d.jpg"" />",どれ,この 中[なか]で<b>どれ</b>が 好[す]きですか。
JLPT2,私,わたし,favorite - liked,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,<b>私</b>が行きましょう。,<b>わたし</b> が いきましょう,Why dont I go.,[sound:09d0613edfe3f2acf12f2de512855a3e.mp3],"<img src=""58ab6b30caa9fd22dc9673d0863aef46.jpg"" />",私[わたし],<b> 私[わたし]</b>が 行[い]きましょう。
JLPT4,好き,すき,game,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Adjectival Noun,私はワインが<b>好き</b>です。,わたし は わいん が <b>すき</b> です,I like wine.,[sound:fe1250584407c2a9b5499098ec358022.mp3],"<img src=""cebcba12ca6047b5df67ab6707cf9cc7.jpg"" />",好[す]き,私[わたし]はワインが<b> 好[す]き</b>です。
JLPT2,ゲーム,ゲーム,one - one person,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,私たちはビデオ<b>ゲーム</b>をした。,わたしたち は びでお<b>げーむ</b> を した,We played a video game.,[sound:8e39b7e99bbdafcdf6a0a50ecbf2f2d5.mp3],"<img src=""d7a889fdea7205b7b419ad7d07a8b37a.jpg"" />",ゲーム,私[わたし]たちはビデオ<b>ゲーム</b>をした。
JLPT4,一人,ひとり,friend - companion,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,そこには私<b>一人</b>しかいなかった。,そこ に は わたし <b>ひとり</b> しか いなかった,I was the only one there.,[sound:23aa9fd233cc106d8d80f67caa8fea78.mp3],"<img src=""115f3a308f1377774b5e42049c594f49.jpg"" />",一人[ひとり],そこには 私[わたし]<b> 一人[ひとり]</b>しかいなかった。
JLPT4,友達,ともだち,return - go back,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,私には<b>友達</b>がたくさんいます。,わたし に は <b>ともだち</b> が たくさん います,I have a lot of friends.,[sound:02bfd05a3da330d3e74635b8d48566f6.mp3],"<img src=""4e5ddcfbe818d61665dbf36266cd8612.jpg"" />",友達[ともだち],私[わたし]には<b> 友達[ともだち]</b>がたくさんいます。
JLPT4,帰る,かえる,healthy - energetic,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Verb,家に<b>帰ろう</b>。,うち に <b>かえろう</b>,Lets go home.,[sound:5836ca64c9d6c53bbbd7c8e5fbd1c2ce.mp3],"<img src=""17b2ac64537e8ef2f9e1bab9c73680b6.jpg"" />",帰[かえ]る,家[うち]に<b> 帰[かえ]ろう</b>。
JLPT4,元気,げんき,weather,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Adjective,おかげさまで<b>元気</b>です。,おかげさま で <b>げんき</b> です,Im fine - thank you.,[sound:0e50db26d57446ac7281c2347dd0623c.mp3],"<img src=""73b3533b3f63b385ad5e459af7210d67.jpg"" />",元気[げんき],おかげさまで<b> 元気[げんき]</b>です。
JLPT4,天気,てんき,few - little,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,今日はいい<b>天気</b>ですね。,きょう は いい <b>てんき</b> です ね,Its nice out today.,[sound:8319c5d33a5855a70776baea91a3326c.mp3],"<img src=""4e7b86a77dd30dd05797dd54baaf198c.jpg"" />",天気[てんき],今日[きょう]はいい<b> 天気[てんき]</b>ですね。
JLPT2,少ない,すくない,be sunny - clear up,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Adjective,今年は雨が<b>少ない</b>です。,ことし は あめ が <b>すくない</b> です 。,Theres not much rain this year.,[sound:7e3248c6e2695d16e013ad3f8a13e5f3.mp3],"<img src=""49d88d48069e9ca694a5486f64b8a7f4.jpg"" />",少[すく]ない,今年[ことし]は 雨[あめ]が<b> 少[すく]ない</b>です。
JLPT4,晴れる,はれる,up - above,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Verb,明日は<b>晴れる</b>といいですね。,あした は <b>はれる</b> と いい です ね,I hope itll be sunny tomorrow.,[sound:70e6e68a31d93c83156c0cb609cbfb9f.mp3],"<img src=""f60a6ec22e14f5aad7cb6c8a83fb96d4.jpg"" />",晴[は]れる,明日[あした]は<b> 晴[は]れる</b>といいですね。
JLPT4,上,うえ,door,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,<b>上</b>を向いて。,<b>うえ</b> を むいて,Look up.,[sound:1b2e2b02de3181d01f18d01197c426e9.mp3],"<img src=""a872bb607628745abc1aeccc0099ebf4.jpg"" />",上[うえ],<b> 上[うえ]</b>を 向[む]いて。
JLPT4,ドア,ドア,open,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,<b>ドア</b>を開けてください。,<b>どあ</b> を あけて ください,Please open the door.,[sound:db998f6c30a97401c09c48f84460d1db.mp3],"<img src=""3bde69dec678e4b0b88a7b82fa788a55.jpg"" />",ドア,<b>ドア</b>を 開[あ]けてください。
JLPT3,開く,ひらく,mouth,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Verb,32ページを<b>開いて</b>ください。,さんじゅうにぺーじ を <b>ひらいて</b> ください,Please open to page 32.,[sound:6e193813475da68736379dffeb2ac09f.mp3],"<img src=""e4908fc9007d30166376b12259b33f01.jpg"" />",開[ひら]く,32[さんじゅうに]ページを<b> 開[ひら]いて</b>ください。
JLPT4,口,くち,shut - close,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,<b>口</b>を大きく開けてください。,<b>くち</b> を おおきく あけて ください,Open wide - please.,[sound:759adc4147b5ca416a202ee74b7876b9.mp3],"<img src=""41662ab078e87a93fb79df03060b1f27.jpg"" />",口[くち],<b> 口[くち]</b>を 大[おお]きく 開[あ]けてください。
JLPT4,閉める,しめる,time - hour,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Verb,ちゃんとドアを<b>閉めて</b>よ。,ちゃんと どあ を <b>しめて</b>よ,Close the door properly.,[sound:2c513cd87fd97e8b80989aae371c12e7.mp3],"<img src=""a04b70e28f4762532bea85855a7cc670.jpg"" />",閉[し]める,ちゃんとドアを<b> 閉[し]めて</b>よ。
JLPT4,時間,じかん,six days - 6th of the month,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,今は<b>時間</b>がありません。,いま は <b>じかん</b> が ありません,I dont have time now.,[sound:fe6b580a409f268f0e4f9765cdd794ca.mp3],"<img src=""2b312f424b7e506c3f41af7bb1063da2.jpg"" />",時間[じかん],今[いま]は<b> 時間[じかん]</b>がありません。
JLPT4,六日,むいか,back - behind,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,<b>六日</b>前に日本に帰ってきました。,<b>むいか</b>まえ に にほん に かえって きました,I came back to Japan six days ago.,[sound:de16b621d3fd313205eb37e8023eb358.mp3],"<img src=""3ac6a6ec9e493005b975c74a81f5d656.jpg"" />",六日[むいか],<b> 六日[むいか]</b> 前[まえ]に 日本[にほん]に 帰[かえ]ってきました。
JLPT0,後ろ,うしろ,ten days - 10th of the month,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,<b>後ろ</b>を向いて。,<b>うしろ</b> を むいて,Turn around.,[sound:c2fa3c3e6404700a3f609963418e030e.mp3],"<img src=""3853ba3783a8b204923dd039125a3275.jpg"" />",後[うし]ろ,<b> 後[うし]ろ</b>を 向[む]いて。
JLPT4,十日,とおか,morning - a.m.,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,<b>十日</b>後に帰ります。,<b>とおか</b>ご に かえります,Ill come home in ten days.,[sound:712c00e97292033484020cb8dae30b23.mp3],"<img src=""6f696308c1eb978c008db74edf549876.jpg"" />",十日[とおか],<b> 十日[とおか]</b> 後[ご]に 帰[かえ]ります。
JLPT4,午前,ごぜん,this evening - tonight,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,<b>午前</b>9時のニュースです。,<b>ごぜん</b> くじ の にゅーす です,And now for the 9.00 a.m. news.,[sound:d73c2a291182679c330d8418dd20217e.mp3],"<img src=""56f385bf19ba9b961577273c7b488149.jpg"" />",午前[ごぜん],<b> 午前[ごぜん]</b> 9時[くじ]のニュースです。
JLPT4,今晩,こんばん,Saturday,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,<b>今晩</b>のパーティーは何時からですか。,<b>こんばん</b> の ぱーてぃー は なんじ から です か,From what time is the party tonight?,[sound:ff8a883995759c3ded378f524f992290.mp3],"<img src=""0e7c646f3f6e56b0a8c0efaadba630f2.jpg"" />",今晩[こんばん],<b> 今晩[こんばん]</b>のパーティーは 何時[なんじ]からですか。
JLPT4,土曜日,どようび,Friday,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,<b>土曜日</b>の夜はクラブに行きます。,<b>どようび</b> の よる は くらぶ に いきます,Im going to a club Saturday night.,[sound:09482cbbb46de7489c0d97f185cec900.mp3],"<img src=""c45b25ed53806b30a7d52c2ad2b3a773.jpg"" />",土曜日[どようび],<b> 土曜日[どようび]</b>の 夜[よる]はクラブに 行[い]きます。
JLPT4,金曜日,きんようび,moon,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,<b>金曜日</b>の夜は友達と出かけます。,<b>きんようび</b> の よる は ともだち と でかけます,I go out with my friends on Friday nights.,[sound:105a6ee6542704559a7d1fdb57fae6b3.mp3],"<img src=""5cd21603d4363e133229102db2d8dad4.jpg"" />",金曜日[きんようび],<b> 金曜日[きんようび]</b>の 夜[よる]は 友達[ともだち]と 出[で]かけます。
JLPT2,月,つき,night (from sunset to sunrise),sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,今夜は<b>月</b>がとてもきれいです。,こんや は <b>つき</b> が とても きれい です,The moon looks so beautiful tonight.,[sound:ce382b52df1295a77a1795cb35acd36a.mp3],"<img src=""8334a77ad86c23abfff06c32f79d624e.jpg"" />",月[つき],今夜[こんや]は<b> 月[つき]</b>がとてもきれいです。
JLPT4,夜,よる,eat,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,きのうの<b>夜</b>は家にいました。,きのう の <b>よる</b> は いえ に いました,I was at home last night.,[sound:3902ad980f28839ef26d4b8f0f74a8ff.mp3],"<img src=""d79b1eed427e258509f1e9991cc4deef.jpg"" />",夜[よる],きのうの<b> 夜[よる]</b>は 家[いえ]にいました。
JLPT4,食べる,たべる,what - which,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Verb,昨日タイカレーを<b>食べました</b>。,きのう たいかれー を <b>たべました</b>,I had Thai curry yesterday.,[sound:cfae6bf9f7d960c2e9055c8fe8cf6e6a.mp3],"<img src=""092d463d5ce184a0a4de6734c268ed99.jpg"" />",食[た]べる,昨日[きのう]タイカレーを<b> 食[た]べました</b>。
JLPT4,何,なに,evening (usually from sunset to bedtime),sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,夕食には<b>何</b>を食べたいですか。,ゆうしょく に は <b>なに</b> を たべたい です か,What would you like for supper?,[sound:aba3d6e76c8b694c97d61a9af15db815.mp3],"<img src=""fbb22a7feee0a5e36ebb8e5616708531.jpg"" />",何[なに],夕食[ゆうしょく]には<b> 何[なに]</b>を 食[た]べたいですか。
JLPT4,晩,ばん,cooked rice - meal,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,<b>晩</b>ご飯は食べましたか。,<b>ばん</b>ごはん は たべました か,Have you had dinner?,[sound:7f7e1e9318fbaef765e8c39380d3a65f.mp3],"<img src=""0f19b0e55608d913b8f4df738f5ed96d.jpg"" />",晩[ばん],<b> 晩[ばん]</b>ご 飯[はん]は 食[た]べましたか。
JLPT0,ご飯,ごはん,three (things),sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,私はパンより<b>ご飯</b>が好きだ。,わたし は ぱん より <b>ごはん</b> が すき だ,I prefer rice to bread.,[sound:b6d3a02654ee66435727737f0f6c9492.mp3],"<img src=""28b89aa81c5a9d79bed9e388a8053fb9.jpg"" />",ご 飯[はん],私[わたし]はパンより<b>ご 飯[はん]</b>が 好[す]きだ。
JLPT4,三つ,みっつ,daytime - midday,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,コップを<b>三つ</b>買いました。,こっぷ を <b>みっつ</b> かいました,I bought three glasses.,[sound:088e3e74f2324164c0575a99cd3557ff.mp3],"<img src=""e72e8d8f05868c9422d1b6ae897832d5.jpg"" />",三[みっ]つ,コップを<b> 三[みっ]つ</b> 買[か]いました。
JLPT4,昼,ひる,be found - be caught,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,私は<b>昼</b>のドラマを毎日見ます。,わたし は <b>ひる</b> の どらま を まいにち みます,I watch daytime dramas every day.,[sound:dbfaccc6bdf91ea6fd491664789adc07.mp3],"<img src=""d3799e60fed96fa8de5ca5c5f57b4d5e.jpg"" />",昼[ひる],私[わたし]は<b> 昼[ひる]</b>のドラマを 毎日見[まいにち み]ます。
JLPT3,見つかる,みつかる,that - that one,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Verb,メガネが<b>見つかりません</b>。,めがね が <b>みつかりません</b>,I cant find my glasses.,[sound:c7fc6516707a265323d132dde6ce0fb8.mp3],"<img src=""9d06e95ee60b8f3e99375eb8225d441a.jpg"" />",見[み]つかる,メガネが<b> 見[み]つかりません</b>。
JLPT4,それ,それ,man - male,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Pronoun,<b>それ</b>はとってもいい話だ。,<b>それ</b> は とっても いい はなし だ,Thats a really nice story.,[sound:c951babc6302fbe6ee96898170363a6e.mp3],"<img src=""fefcf8b5fc45942801a9a5c4645228a0.jpg"" />",それ,<b>それ</b>はとってもいい 話[はなし]だ。
JLPT4,男,おとこ,this week,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,<b>男</b>の人が私たちに話しかけた。,<b>おとこ</b> の ひと が わたしたち に はなしかけた,This guy began talking to us.,[sound:4f466b182e027fa0a7e6006a421c740e.mp3],"<img src=""5939875a9c237a998d5200c747ea621f.jpg"" />",男[おとこ],<b> 男[おとこ]</b>の 人[ひと]が 私[わたし]たちに 話[はな]しかけた。
JLPT4,今週,こんしゅう,like this - this kind of,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,<b>今週</b>は日本語のテストがあります。,<b>こんしゅう</b> は にほんご の てすと が あります,Theres a Japanese test this week.,[sound:e08c58d8ccc4868aa0efc001ec3f68f3.mp3],"<img src=""b1a5d1a817d3402cb7298d2b06e0d6b0.jpg"" />",今週[こんしゅう],<b> 今週[こんしゅう]</b>は 日本語[にほんご]のテストがあります。
JLPT3,こう,こう,meet,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Adverb,<b>こう</b>小さい字は読めない。,<b>こう</b> ちいさい じ は よめない,I cant read such small letters.,[sound:115f4b80b0d3fc4a4ff849b22285adf1.mp3],"<img src=""4d4c2715a191f4b45ee24f97735dfa35.jpg"" />",こう,<b>こう</b> 小[ちい]さい 字[じ]は 読[よ]めない。
JLPT4,会う,あう,Monday,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Verb,また<b>会いましょう</b>。,また <b>あいましょう</b>,Lets meet again.,[sound:7437049481bba812a4c5c6a8395f7b55.mp3],"<img src=""7b9c1052f2692a9465f4a748eb7d53b5.jpg"" />",会[あ]う,また<b> 会[あ]いましょう</b>。
JLPT4,月曜日,げつようび,yesterday,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,<b>月曜日</b>に会いましょう。,<b>げつようび</b> に あいましょう,Lets meet on Monday.,[sound:752d4cfc283911f56a090a04658b3560.mp3],"<img src=""6f73d17fe6fb1e53a3fc353bcf11a0d7.jpg"" />",月曜日[げつようび],<b> 月曜日[げつようび]</b>に 会[あ]いましょう。
JLPT4,昨日,きのう,take a day off - take a break,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,<b>昨日</b>、友達に会った。,<b>きのう</b> ともだち に あった,I met a friend yesterday.,[sound:701f87a8b639501146cf24096a70be0c.mp3],"<img src=""f976ae72d7524dbf7055b8563e8209fc.jpg"" />",昨日[きのう],<b> 昨日[きのう]</b>、 友達[ともだち]に 会[あ]った。
JLPT4,休む,やすむ,today,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Verb,明日、会社を<b>休みます</b>。,あした かいしゃ を <b>やすみます</b>,Im off work tomorrow.,[sound:23d317c69bf2808d8418c213f2d8d2bf.mp3],"<img src=""f0dddfd3c126d0a5cc58ee72bd07c36b.jpg"" />",休[やす]む,明日[あした]、 会社[かいしゃ]を<b> 休[やす]みます</b>。
JLPT4,今日,きょう,Thursday,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,<b>今日</b>は仕事がありません。,<b>きょう</b> は しごと が ありません,I have no work today.,[sound:09456961843a97a0151a1792ae903458.mp3],"<img src=""f5cd0090093566eb88dc90001a7b15a1.jpg"" />",今日[きょう],<b> 今日[きょう]</b>は 仕事[しごと]がありません。
JLPT4,木曜日,もくようび,situation - case,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,<b>木曜日</b>は仕事が休みです。,<b>もくようび</b> は しごと が やすみ です,Thursday is my day off work.,[sound:c41b1fa0706aa28455978aeac7c40107.mp3],"<img src=""4776c1c42314d6eb86f0612cf523e0c9.jpg"" />",木曜日[もくようび],<b> 木曜日[もくようび]</b>は 仕事[しごと]が 休[やす]みです。
JLPT3,場合,ばあい,switch on,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,分からない<b>場合</b>は私に聞いてください。,わからない <b>ばあい</b> は わたし に きいて ください,Please ask me if you dont understand.,[sound:84793b257a5cc527d1b3a7cb364e9798.mp3],"<img src=""6b065467f69426574de1c0c5d3de674e.jpg"" />",場合[ばあい],分[わ]からない<b> 場合[ばあい]</b>は 私[わたし]に 聞[き]いてください。
JLPT4,つける,つける,railway station,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Verb,電気を<b>つけて</b>ください。,でんき を <b>つけて</b> ください,Please turn on the light.,[sound:b7417fd7db5d36b9b49ce8534a47769a.mp3],"<img src=""7168ef4f3c69100f3a85c9828d0804d5.jpg"" />",つける,電気[でんき]を<b>つけて</b>ください。
